timestamp_abs,timestamp_rel,msg_num,mode,east,north,up,bearing_deg,elevation_deg,distance,range_3d,integrity,enable,bias_deg,freq_hz,use_range_only
1765983589.3207877,1.2317283153533936,1,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983598.9156265,10.82656717300415,2,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983610.4149005,22.325841188430786,3,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983615.052177,26.963117599487305,4,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983619.848164,31.75910472869873,5,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983631.1173549,43.02829551696777,6,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983642.539394,54.450334548950195,7,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983653.9238813,65.83482193946838,8,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983665.410034,77.32097458839417,9,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983676.8340964,88.74503707885742,10,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983692.8511765,104.76211714744568,11,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983702.3259542,114.23689484596252,12,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
1765983713.7997363,125.71067690849304,13,RANGE,0.0,0.0,0.0,0.0,0.0,0.0,1.554,100,True,0.0,0.5,False
