timestamp_abs,timestamp_rel,range,integrity,rssi
1765472162.1482391,60.235302448272705,0.78,0,0
1765472166.4049172,64.49198055267334,0.7816648898345121,87,-33
1765472169.6439576,67.7310209274292,1.377715500384604,87,-33
1765472172.880672,70.96773529052734,1.377715500384604,91,-33
1765472177.1736786,75.26074194908142,1.377715500384604,87,-33
1765472180.415866,78.50292921066284,1.377715500384604,88,-33
1765472183.6596572,81.74672055244446,1.377715500384604,88,-33
1765472186.8987432,84.98580646514893,1.377715500384604,89,-33
1765472190.1110117,88.19807505607605,1.3803622712896786,87,-33
1765472191.1642015,89.25126481056213,1.3803622712896786,89,-33
1765472193.3223977,91.40946102142334,1.3803622712896786,86,-33
1765472196.5452304,94.63229370117188,1.3817742217887843,88,-33
1765472199.7666862,97.8537495136261,1.3817742217887843,88,-33
1765472202.9884598,101.07552313804626,1.3817742217887843,88,-33
1765472206.2089539,104.29601716995239,1.3817742217887843,88,-33
1765472209.4285848,107.51564812660217,1.3817742217887843,88,-33
1765472212.648131,110.7351942062378,1.3817742217887843,87,-33
1765472215.8702943,113.95735764503479,1.3817742217887843,87,-33
1765472219.0948107,117.18187403678894,1.3817742217887843,89,-33
