timestamp_abs,timestamp_rel,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw
1765470650.5897253,0.9603190422058105,4.06251580065e-13,-8.51829526735e-13,-0.0243037917219,5.0863959023e-08,-1.06651701233e-07,-5.43959548498e-07,0.00318421365181,-0.00667666869779,-0.00974907998866,0.0352165520236366,-0.06735761488023323,1.3572835116683009
1765470650.5942914,0.9648852348327637,3.28931017825e-07,-5.98986521325e-07,-0.0244287318224,3.28133357434e-05,-5.97533974145e-05,-0.0003266129323,0.00154368556888,-0.00275828930921,-0.00415396438145,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.6158092,0.9864029884338379,7.91748067067e-07,-1.1410763259e-06,-0.0244772133831,3.80920354104e-05,-5.36569805312e-05,-0.000528434444646,0.000818486389877,-0.00102616076768,-0.00168094797382,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.6364138,1.0070075988769531,1.12639837422e-06,-9.99928595679e-07,-0.0245069760855,3.40362750373e-05,-2.52582446124e-05,-0.000641651834512,0.000402322972793,-3.21600110036e-05,-0.000261814018115,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.6569479,1.0275416374206543,1.27016638829e-06,-2.62465326289e-08,-0.0245278005286,2.57027435652e-05,1.33534615903e-05,-0.000672964415038,0.000129320441478,0.000619902884395,0.000669295065574,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.67595,1.046543836593628,1.20369421583e-06,1.82620568207e-06,-0.0245421832508,1.50489767522e-05,5.75052473651e-05,-0.000638427791949,-6.44164307353e-05,0.00108264081298,0.00133028300819,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.6969125,1.0675063133239746,9.18861966035e-07,4.57757095353e-06,-0.0245514221325,2.98886822497e-06,0.000105021376058,-0.000561314403322,-0.000208831965019,0.00142757538547,0.00182319182699,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.716551,1.0871448516845703,4.0950762138e-07,8.24672677892e-06,-0.024556723332,-1.00014232594e-05,0.000154791785857,-0.000462737855258,-0.000319968923408,0.00169302452443,0.00220264643286,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.7369647,1.1075584888458252,-3.2994556579e-07,1.28384743605e-05,-0.0245591509709,-2.36194404667e-05,0.000206028958599,-0.000357485102786,-0.000407254667118,0.00190150535608,0.00250073309674,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.756875,1.1274688243865967,-1.30670418519e-06,1.83771286283e-05,-0.0245595921488,-3.77031318887e-05,0.000258395881667,-0.00025355926347,-0.000476765236094,0.00206753042057,0.00273813675165,0.03525516369825354,-0.06739638051885069,1.3572616737473622
1765470650.7774847,1.148078441619873,8.48434630441e-06,2.49806866075e-05,-0.0245558264292,9.34557175725e-05,0.000313028443624,-6.090179505e-05,0.00115746698923,0.00221881320663,0.00445031238234,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.7985032,1.1690969467163086,1.97750704081e-05,3.2581385978e-05,-0.0245508013667,0.000232116153646,0.000368375574624,0.000130986059627,0.00247858103545,0.0023411102771,0.00583432948207,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.817212,1.1878058910369873,3.2792313728e-05,4.12029278901e-05,-0.0273577753317,0.000376621390033,0.000424291959387,-0.014718413058,0.00355105854899,0.0024403907733,0.00676735248799,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.8372917,1.207885503768921,4.77460375596e-05,5.08594491619e-05,-0.0295403387836,0.000525678382141,0.000480623663973,-0.0239567985023,0.00442401571885,0.00252120143822,0.00757847915088,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.857363,1.227956771850586,6.49259484762e-05,6.16431501466e-05,-0.0312418012601,0.000679005338582,0.000537637112999,-0.0294575922311,0.00513656361464,0.00258716282927,0.00828224676545,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.8775697,1.2481634616851807,8.43503019294e-05,7.34339454037e-05,-0.03256223341,0.000834600247861,0.000594579074815,-0.0324652631471,0.00571799377942,0.0026409864988,0.00889056456978,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.8976557,1.26824951171875,0.000106249162612,8.6309786713e-05,-0.0335886707884,0.000992475338781,0.000651728591489,-0.0338136982259,0.0061928935985,0.00268494852979,0.00941516798923,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.9179833,1.2885770797729492,0.000130952316284,0.000100400259736,-0.0343896429197,0.00115324583509,0.000709490505999,-0.0340547001719,0.00658150505052,0.00272092274584,0.00986725259852,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.9381895,1.3087832927703857,0.000158241068111,0.00011549998841,-0.0350045989489,0.00131453152184,0.000766970345858,-0.0335719321484,0.00689907227108,0.0027503203144,0.0102552247255,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.958184,1.32877779006958,0.00018838316727,0.000131724493333,-0.0363876842105,0.00147705215053,0.000824574574939,-0.0358974668346,0.00715871918122,0.00277435613217,0.0104874264418,0.03526377735990426,-0.06738859493385142,1.3571922984009657
1765470650.977998,1.3485918045043945,0.000203571013348,0.000160347296955,-0.0374937352714,0.00145534066003,0.000998927190994,-0.0370663806486,0.00532456856967,0.0040831050597,0.00962575901734,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470650.9986959,1.3692896366119385,0.000220751484239,0.000190739960767,-0.0383743077777,0.00142674467995,0.00117815649289,-0.0373655616333,0.00382422710992,0.00515366614885,0.00894891047746,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.0197847,1.390378475189209,0.000239403367523,0.000223317154201,-0.0390730254958,0.00139260999369,0.00136145254898,-0.037049974964,0.00259661668326,0.00602962138349,0.00841829012825,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.0391295,1.4097232818603516,0.000259182699359,0.000258543472244,-0.0396262625654,0.00135408872291,0.00154865854664,-0.0362996851533,0.0015913808199,0.00674690236893,0.00800299363271,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.0592468,1.4298405647277832,0.000279410838769,0.000296369664746,-0.0400545848214,0.00131157497943,0.00173778121216,-0.035253047817,0.000769259835093,0.00733352265539,0.00767882818247,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.0797126,1.4503064155578613,0.000299931283669,0.000337179889179,-0.0403843257906,0.00126604913632,0.00192903623235,-0.0340052835297,9.67515444233e-05,0.00781338755777,0.00742608641395,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.0997708,1.4703645706176758,0.00032046871188,0.000381139626293,-0.0378029682724,0.00121806654691,0.00212194840635,-0.0245046074757,-0.00045341231392,0.0082059542069,0.00764457742434,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.1216943,1.4922881126403809,0.000340830558408,0.00042844282133,-0.0356088799744,0.00116807519674,0.00231635405959,-0.0168274568625,-0.000903586152088,0.00852717348093,0.00774954966073,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.1399558,1.510549545288086,0.000360857887517,0.000479269623638,-0.0337414053787,0.00111640880491,0.0025121654138,-0.0106194609922,-0.00127204326455,0.00879008419706,0.00777132306746,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.162174,1.5327677726745605,0.000380398629345,0.000533739621138,-0.0321502359394,0.00106334458344,0.00270918090711,-0.00560266358449,-0.00157365793422,0.00900529982492,0.0077333815365,0.035396327880784555,-0.06744001058764676,1.3571775178569156
1765470651.1798859,1.5504796504974365,0.000437501219574,0.000568668567009,-0.0308021551168,0.00139061461702,0.00267611223204,-0.00174290691677,0.0023803912551,0.0066416505517,0.00528807733484,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.201991,1.572584867477417,0.000495498355703,0.000606333673283,-0.029655173392,0.00173237857365,0.00263436592865,0.00131197854172,0.00561595416126,0.00470749759977,0.00324526343412,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.220573,1.5911667346954346,0.000555709709618,0.000645953477024,-0.0286802282971,0.00208600115053,0.0025855346315,0.00370737022693,0.0082636764717,0.00312474366447,0.00153747839991,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.2420826,1.6126763820648193,0.000619268574179,0.000686936478242,-0.0295718727281,0.00244953795307,0.00253095370721,0.00114910299056,0.0104307483087,0.0018293126955,-0.000182654790251,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.2611496,1.6317434310913086,0.00068694540934,0.000728625631941,-0.030334228924,0.00282075335772,0.00247155771073,-0.000937602809897,0.0122039227518,0.000769345486434,-0.00156140457122,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.284494,1.6550877094268799,0.000759602126747,0.000770715620979,-0.0309858277942,0.00319875680026,0.00240829623987,-0.00263195560957,0.0136551416448,-9.81633171668e-05,-0.00266501272582,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.3015506,1.6721444129943848,0.000837745915451,0.000812769527715,-0.0315422390835,0.00358198300291,0.00234184349143,-0.00399861937866,0.0148427214267,-0.000808074083045,-0.00354671797519,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.3215404,1.692134141921997,0.000921806031759,0.000854467861369,-0.0320166810828,0.00396923853694,0.00227281096678,-0.00509121045636,0.0158144025303,-0.00138892505996,-0.00424969146686,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.3419275,1.7125213146209717,0.00101223046694,0.000895611574213,-0.0324206495471,0.00435995313375,0.00220167223055,-0.00595467545426,0.0166094742717,-0.00186420259286,-0.0048090699857,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.3618555,1.7324492931365967,0.00110938030969,0.000936022782421,-0.0327640076195,0.00475361592043,0.00212879804556,-0.00662656858923,0.0172601021945,-0.00225313458216,-0.00525328042684,0.03576444748364996,-0.067258703412872,1.3573112085436376
1765470651.3815045,1.7520983219146729,0.00119040683355,0.000931055543521,-0.0311887998196,0.00492089514594,0.00161357741625,-0.0025035574947,0.015276218693,-0.00742691569064,-0.00427738826639,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.401866,1.7724597454071045,0.0012777757799,0.000923286898024,-0.0298359810108,0.00508119554572,0.00107942417872,0.000865880576181,0.0136525394828,-0.0116613179716,-0.00353228473737,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.4216213,1.79221510887146,0.00137071653291,0.000910931983773,-0.0286759579687,0.00523549962867,0.000529869762532,0.00359590685728,0.0123237261846,-0.0151267377572,-0.00296870626863,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.441786,1.8123798370361328,0.00146876242397,0.00089256657856,-0.0276830126689,0.00538508083103,-3.25085885132e-05,0.00578385728576,0.0112361290345,-0.0179630885734,-0.00254715204506,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.4625707,1.8331644535064697,0.00157131555825,0.000867016412039,-0.0268351807792,0.00553049713686,-0.000604948493919,0.0075123695906,0.0103461025056,-0.0202841938388,-0.00223625245972,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.482729,1.8533227443695068,0.00167805970314,0.000833337481026,-0.0261131326788,0.0056726098384,-0.00118569962323,0.00885228999208,0.00961775753202,-0.0221836488531,-0.00201095013866,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.5029373,1.8735311031341553,0.00178950262347,0.00079051053675,-0.0254986094968,0.00581330192779,-0.00177644370925,0.00986452824054,0.00902110415033,-0.0237396646132,-0.00185116207439,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.522987,1.893580675125122,0.00190387435878,0.000738286001342,-0.026824735276,0.0059505664853,-0.00236987214824,0.00617183289611,0.00853305377232,-0.02501245398,-0.00208371580511,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.5432224,1.913816213607788,0.00202171999914,0.000675979566012,-0.0279711329502,0.00608606143855,-0.00296789301014,0.00309186380579,0.0081337594326,-0.0260537759679,-0.00222742039971,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.5632994,1.9338932037353516,0.00214288860621,0.000603151772893,-0.028960797307,0.00622012497141,-0.00356973703394,0.000538338400042,0.00780703079202,-0.0269058534548,-0.0023047690517,0.03577932373505158,-0.06720027199407999,1.3573282527746142
1765470651.58272,1.9533138275146484,0.00227782206217,0.000536107194455,-0.0297960090578,0.006456957736,-0.00400932525448,-0.00117660858128,0.00868287512378,-0.0257768112291,0.00250063357817,0.03574524359547696,-0.06718054379606739,1.357406150236499
1765470651.6031559,1.9737496376037598,0.00241621337343,0.000458580331173,-0.0305112919766,0.00669694699726,-0.00444465055209,-0.00248814513917,0.00939966420641,-0.0248528055447,0.00646278900347,0.03574524359547696,-0.06718054379606739,1.357406150236499
1765470651.6251965,1.9957902431488037,0.0025594776859,0.000370169057068,-0.0311222924899,0.00694108779813,-0.00488041513096,-0.00345736321519,0.00998696579136,-0.024095720907,0.00973422083172,0.03574524359547696,-0.06718054379606739,1.357406150236499
1765470651.6451833,2.015777111053467,0.00270575874706,0.000272618596783,-0.0316403989449,0.00718593696893,-0.00530966948191,-0.0041372693793,0.0104673314986,-0.0234764862467,0.0124314237882,0.03574524359547696,-0.06718054379606739,1.357406150236499
1765470651.6640737,2.034667491912842,0.00285612693575,0.000165624255368,-0.0320776129427,0.00743232417016,-0.00573622721548,-0.00457333677532,0.0108602521993,-0.0229699760756,0.0146557224017,0.03574524359547696,-0.06718054379606739,1.357406150236499
1765470651.6845903,2.0551841259002686,0.00301100949218,4.91978429624e-05,-0.0324445145988,0.00768031767034,-0.00616134009974,-0.00480518767429,0.0111817532256,-0.022555532297,0.0164908867828,0.03574524359547696,-0.06718054379606739,1.357406150236499
1765470651.7045946,2.075188398361206,0.00317032550157,-7.63219220572e-05,-0.0327501281236,0.00792934889905,-0.00658468335818,-0.00486765558457,0.0114448121111,-0.0222164257015,0.0180050987876,0.03574524359547696,-0.06718054379606739,1.357406150236499
