timestamp_abs,timestamp_rel,range,integrity,rssi
1765456152.6001563,6.792223691940308,4.614130470630409,160,-53
1765456155.8060558,9.998123168945312,3.7347690691661244,113,-55
1765456156.8491354,11.041202783584595,3.7347690691661244,127,-55
1765456160.0598657,14.251933097839355,3.7347690691661244,104,-59
1765456163.264501,17.456568479537964,3.9138472121430596,135,-59
1765456167.52393,21.715997457504272,3.8816104905051976,114,-57
1765456170.7322922,24.924359560012817,3.876222387841028,154,-56
1765456171.7863371,25.97840452194214,3.876222387841028,138,-56
1765456173.9329157,28.124983072280884,3.961464375707549,149,-55
1765456177.1495636,31.341630935668945,4.170095922158146,99,-55
1765456180.3758345,34.567901849746704,4.253351619605414,144,-55
1765456183.6080453,37.8001127243042,4.422510599195891,133,-55
1765456186.8375368,41.02960419654846,4.43153472286972,120,-56
1765456193.9487097,48.14077711105347,4.417804884781581,101,-58
1765456214.0497053,68.24177265167236,4.624089099487595,148,-56
1765456241.4561286,95.64819598197937,4.379965753290772,133,-56
1765456244.7107658,98.9028332233429,6.010482509749114,121,-56
1765456247.9697099,102.16177725791931,6.177977015172523,127,-56
1765456251.230991,105.42305827140808,6.062548968874395,125,-60
1765456254.4835017,108.6755690574646,6.052933173264017,140,-60
1765456255.7308311,109.92289853096008,6.052734919026274,151,-59
1765456257.74359,111.9356575012207,6.388450516361538,127,-58
1765456261.0029428,115.1950101852417,6.5738497092647314,133,-58
1765456270.583552,124.77561926841736,6.78009586952869,154,-61
1765456289.9851835,144.17725086212158,7.167105412926476,90,-60
1765456321.5880444,175.78011178970337,7.170529966466914,138,-61
1765456325.7532248,179.94529223442078,9.076596278341349,142,-61
1765456369.9919543,224.1840217113495,8.413055330853352,112,-57
1765456372.2833397,226.47540712356567,8.410814467101268,120,-57
1765456373.5463493,227.73841667175293,5.776062672790177,106,-58
1765456387.246733,241.43880033493042,5.685956383934017,128,-56
1765456390.5028503,244.694917678833,3.9418523564436048,147,-57
1765456393.7549264,247.94699382781982,3.6515886953489165,129,-55
1765456397.006549,251.1986162662506,3.1889496703460214,134,-55
1765456400.2544217,254.44648909568787,2.639052860402762,138,-55
1765456403.4960384,257.6881058216095,2.184055860091495,144,-52
1765456406.7324748,260.9245421886444,1.7402586014727812,214,-51
1765456409.9741955,264.1662628650665,1.3787675656179326,135,-54
1765456413.218105,267.4101724624634,1.7950208912433303,137,-56
