timestamp,x,y,z,vx,vy,vz
10.104042291641235,0.8,0.8,0.2794781677115715,-2.010783408905368e-05,-0.00011319764487218356,0.011505857471900414
10.30402660369873,0.7999959784794316,0.7999773607313877,0.31950934051143803,7.864255776563812e-05,-0.0003538223336836631,0.04691625677906326
10.504266738891602,0.8000117068101017,0.7999065970784657,0.3397163274808707,0.00024671303936371093,-0.0006611303618963087,0.0649126743308201
10.703260898590088,0.8000610488505182,0.7997743725267299,0.3419289973577874,0.00034609899914664295,-0.0008575233258157318,0.04446078146620131
10.903839111328123,0.800130267854297,0.799602869833927,0.35082105138829534,0.00039261639757216116,-0.0011189252647110775,0.04440831414793935
11.10323929786682,0.8002087902307677,0.7993790873545867,0.35970261207582915,0.0003005121608650009,-0.0013965539305079292,0.044414126242988995
11.304739952087402,-0.07289708841832387,-0.0727905931195314,0.31753731285855585,-0.1772436260301281,-0.17879392015404447,-0.025209286738322317
11.502963066101074,-0.1083454059523092,-0.10854896591252117,0.312495513493915,-0.17734617669112504,-0.17878372639152257,-0.02525087646043657
11.705079555511476,-0.14381423338262062,-0.1443052999764529,0.3074453962805105,-0.17714043575512536,-0.17902678324515384,-0.02534568235482923
11.905035257339478,-0.17924191309894982,-0.18011024485206406,0.30237631810628723,-0.17701269427271302,-0.17905022130494033,-0.02552097519436293
12.103034019470217,-0.2146440448126104,-0.21591987728572343,0.2972721817673423,-0.17718098824707623,-0.179232530468127,-0.025695824802971546
12.303911685943604,-0.2500798349340564,-0.25176597113269705,0.29213307590884136,-0.17699799256812163,-0.1795234534972769,-0.02578429387257115
12.505696773529053,-0.2854790263406136,-0.28767024891635845,0.28697627643990514,-0.1771901115970837,-0.1795260881498848,-0.025696952821347895
12.703971147537231,-0.32091664111107676,-0.3235750536244816,0.2818369449803234,-0.17749632111340974,-0.17956194074163398,-0.0254987641037535
12.903651475906372,-0.356415497080503,-0.3594870287684912,0.2767372508084134,-0.1774251792665257,-0.1798676292791752,-0.025520605758945866
13.103902578353882,-0.3919001248441834,-0.39546014091690523,0.27163318835570216,-0.17751101104234815,-0.18021185408864557,-0.02549424505013155
13.309427738189695,-0.42740191876560957,-0.43150209723547356,0.26653439798412243,-0.17754282196674034,-0.18029051847264882,-0.025589814165393514
13.507866621017456,-0.4629100747987469,-0.46755978624990924,0.26141649400930556,-0.17745489705252346,-0.18046313499545577,-0.025776569933915208
13.704492092132568,-0.498400646051274,-0.5036519981718769,0.25626123931033495,-0.17755454967232304,-0.18055907057166137,-0.02594469460569361
13.90283703804016,-0.5339111475985534,-0.5397633969884276,0.25107236006370653,-0.17765128924613077,-0.18074900147216422,-0.02596093713207744
14.10361099243164,-0.5694409968380869,-0.5759127815482252,0.2458802323491602,-0.17768117380779852,-0.18083076768803905,-0.02602931660963619
14.303794384002686,-0.6049768229212176,-0.6120785191631302,0.24067442889637944,-0.17767623041106376,-0.1808247148430724,-0.02613541818039843
