timestamp_abs,timestamp_rel,range,range_3d,integrity,rssi,east,north,up,mode,use_range_only
1766069846.6103055,11.331146478652954,0.0,0.0,100,0,0,0,0,ANGLES,False
1766069850.589875,15.310715913772583,0.7710000276565552,0.7710000276565552,100,0,0.0,0.7710000276565552,0.0,ANGLES,False
1766069855.8088312,20.529672145843506,0.7710000276565552,0.7710000276565552,100,0,0.0,0.7710000276565552,0.0,ANGLES,False
1766069861.708808,26.429648876190186,0.7695000171661377,0.7695000171661377,100,0,0.0,0.7695000171661377,0.0,ANGLES,False
1766069866.9335392,31.654380083084106,0.7695000171661377,0.7695000171661377,100,0,0.0,0.7695000171661377,0.0,ANGLES,False
1766069871.1432946,35.86413550376892,0.7695000171661377,0.7695000171661377,100,0,0.0,0.7695000171661377,0.0,ANGLES,False
1766069875.9400015,40.660842418670654,0.7710000276565552,0.7710000276565552,100,0,0.0,0.7710000276565552,0.0,ANGLES,False
1766069880.9451656,45.666006565093994,0.7710000276565552,0.7710000276565552,100,0,0.0,0.7710000276565552,0.0,ANGLES,False
1766069886.1417146,50.862555503845215,0.7710000276565552,0.7710000276565552,100,0,0.0,0.7710000276565552,0.0,ANGLES,False
1766069891.0218632,55.74270415306091,0.7739999890327454,0.7739999890327454,100,0,0.0,0.7739999890327454,0.0,ANGLES,False
1766069897.2671661,61.98800706863403,0.7710000276565552,0.7710000276565552,100,0,0.0,0.7710000276565552,0.0,ANGLES,False
1766069901.1661508,65.88699173927307,0.7680000066757202,0.7680000066757202,100,0,0.0,0.7680000066757202,0.0,ANGLES,False
